epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.51,1.308,2.41225,1.57213,0.39676,0.35769,0.35895,0.20554,1.43061,2.05715,1.75589,0.00333049,0.00333049,0.00333049
2,792.987,1.29599,1.74776,1.54714,0.45828,0.43044,0.40451,0.21458,1.50319,1.96035,1.8478,0.00659786,0.00659786,0.00659786
3,1226.68,nan,nan,nan,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.00979922,0.00979922,0.00979922
4,1604.15,1.35175,1.46658,1.59714,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.009703,0.009703,0.009703
5,1984.77,1.27633,1.30439,1.53403,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.009604,0.009604,0.009604
6,2371.37,1.23264,1.21523,1.50597,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.009505,0.009505,0.009505
7,2745.86,1.19712,1.15194,1.48105,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.009406,0.009406,0.009406
8,3119.27,1.1749,1.11117,1.45982,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.009307,0.009307,0.009307
9,3493.37,1.15819,1.06927,1.4478,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.009208,0.009208,0.009208
10,3866.57,1.12925,1.03321,1.42669,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.009109,0.009109,0.009109
11,4242.88,1.1175,0.9992,1.41043,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.00901,0.00901,0.00901
12,4613.13,1.10225,0.98639,1.40334,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.008911,0.008911,0.008911
13,4983.8,nan,nan,nan,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.008812,0.008812,0.008812
14,5370.11,1.08314,0.94673,1.38923,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.008713,0.008713,0.008713
15,5743.27,1.07549,0.93164,1.38406,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.008614,0.008614,0.008614
16,6117.89,1.06346,0.90949,1.36722,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.008515,0.008515,0.008515
17,6493.14,1.05431,0.89599,1.36208,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.008416,0.008416,0.008416
18,6868.48,1.05052,0.88647,1.36014,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.008317,0.008317,0.008317
19,7246.68,1.03995,0.87786,1.35174,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.008218,0.008218,0.008218
20,7621.23,1.03287,0.86162,1.34849,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.008119,0.008119,0.008119
21,7998.55,1.02656,0.85274,1.34379,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.00802,0.00802,0.00802
22,8375.3,1.01372,0.84138,1.33938,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.007921,0.007921,0.007921
23,8752.83,1.01295,0.84306,1.33432,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.007822,0.007822,0.007822
24,9126.17,1.00984,0.82682,1.33526,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.007723,0.007723,0.007723
25,9500.94,1.0144,0.82556,1.33366,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.007624,0.007624,0.007624
26,9876.34,1.00167,0.81288,1.32353,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.007525,0.007525,0.007525
27,10253.2,0.99343,0.80567,1.31897,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.007426,0.007426,0.007426
28,10627.5,0.99165,0.8021,1.31823,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.007327,0.007327,0.007327
29,11001,0.98903,0.78823,1.31645,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.007228,0.007228,0.007228
30,11377.3,0.98342,0.78451,1.30874,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.007129,0.007129,0.007129
31,11752,0.97891,0.7744,1.30821,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.00703,0.00703,0.00703
32,12127.6,0.97381,0.7778,1.30313,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.006931,0.006931,0.006931
33,12504.1,0.96817,0.76079,1.3036,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.006832,0.006832,0.006832
34,12877.2,0.95625,0.76423,1.29514,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.006733,0.006733,0.006733
35,13252.1,0.95709,0.75471,1.28999,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.006634,0.006634,0.006634
36,13628.7,0.9618,0.74956,1.29127,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.006535,0.006535,0.006535
37,14006.3,0.95643,0.7518,1.29443,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.006436,0.006436,0.006436
38,14382,nan,nan,nan,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.006337,0.006337,0.006337
39,14756.6,0.94333,0.73821,1.28299,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.006238,0.006238,0.006238
40,15149.3,0.94417,0.73436,1.2755,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.006139,0.006139,0.006139
41,15682,0.93947,0.72219,1.27455,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.00604,0.00604,0.00604
42,16230.9,0.9384,0.72089,1.27658,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.005941,0.005941,0.005941
43,16651.4,nan,nan,nan,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.005842,0.005842,0.005842
44,17026.7,0.92848,0.71597,1.267,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.005743,0.005743,0.005743
45,17402.3,0.92554,0.70784,1.26786,0.45828,0.43044,0.40451,0.21458,nan,nan,nan,0.005644,0.005644,0.005644
