epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.972,1.1043,1.24441,1.4426,0.74627,0.62898,0.69426,0.43959,1.25396,0.94809,1.61601,0.00333032,0.00333032,0.00333032
2,526.791,1.14973,1.04831,1.46484,0.69237,0.55963,0.60573,0.36885,1.34176,1.10833,1.69136,0.00653172,0.00653172,0.00653172
3,773.716,1.25767,1.21608,1.53725,0.44952,0.45191,0.41913,0.24826,1.42479,1.41738,1.84006,0.00960111,0.00960111,0.00960111
4,1019.3,1.27734,1.26265,1.56653,0.60724,0.49917,0.53937,0.32327,1.33069,1.22957,1.72291,0.009406,0.009406,0.009406
5,1264.85,1.21111,1.13831,1.51367,0.7234,0.53481,0.62963,0.38061,1.27732,1.02729,1.63721,0.009208,0.009208,0.009208
6,1510.15,1.15642,1.04292,1.46875,0.74029,0.61631,0.66061,0.40758,1.30122,0.91804,1.652,0.00901,0.00901,0.00901
7,1755.5,1.1254,0.9821,1.44762,0.80342,0.63485,0.71731,0.45664,1.21293,0.80998,1.58709,0.008812,0.008812,0.008812
8,2000.72,1.10891,0.94042,1.42721,0.82923,0.64072,0.74366,0.48103,1.18317,0.76855,1.54074,0.008614,0.008614,0.008614
9,2245.98,1.07318,0.91126,1.40265,0.80379,0.66835,0.73698,0.47434,1.17627,0.74829,1.52847,0.008416,0.008416,0.008416
10,2491.58,1.05908,0.87703,1.3943,0.84222,0.67094,0.75792,0.49005,1.15682,0.72796,1.5092,0.008218,0.008218,0.008218
11,2737.09,1.03998,0.84886,1.37947,0.83516,0.66936,0.74976,0.49864,1.12397,0.70291,1.49862,0.00802,0.00802,0.00802
12,2982.44,1.02106,0.82425,1.36585,0.84284,0.66469,0.76596,0.51054,1.13515,0.69029,1.49271,0.007822,0.007822,0.007822
13,3227.56,1.01329,0.80054,1.35763,0.85313,0.68779,0.76897,0.50972,1.10334,0.6597,1.47718,0.007624,0.007624,0.007624
14,3472.81,1.00467,0.79554,1.35294,0.83688,0.69309,0.78327,0.52819,1.09508,0.64707,1.4575,0.007426,0.007426,0.007426
15,3718.48,0.99774,0.77785,1.34686,0.85215,0.68911,0.77806,0.52481,1.08813,0.64764,1.44149,0.007228,0.007228,0.007228
16,3963.99,0.97777,0.75406,1.32994,0.84673,0.71743,0.80143,0.545,1.07346,0.62142,1.43523,0.00703,0.00703,0.00703
17,4209.28,0.96987,0.74463,1.32539,0.8777,0.70755,0.80372,0.54985,1.07271,0.61542,1.42812,0.006832,0.006832,0.006832
18,4454.59,0.95634,0.72572,1.3144,0.85949,0.7133,0.79988,0.54383,1.06448,0.59563,1.43424,0.006634,0.006634,0.006634
19,4699.71,0.94443,0.71783,1.30447,0.87291,0.7254,0.8135,0.56188,1.04834,0.59694,1.40833,0.006436,0.006436,0.006436
20,4945.26,0.94524,0.71047,1.30419,0.81549,0.72939,0.80859,0.55762,1.04216,0.57744,1.40239,0.006238,0.006238,0.006238
21,5190.82,0.92821,0.69243,1.29633,0.86341,0.73065,0.815,0.56648,1.02757,0.56026,1.39261,0.00604,0.00604,0.00604
22,5436.08,0.92152,0.67808,1.28875,0.83029,0.75133,0.81947,0.57107,1.01845,0.55001,1.38467,0.005842,0.005842,0.005842
23,5681.32,0.91387,0.67855,1.28473,0.88293,0.71429,0.81232,0.56946,1.01669,0.55151,1.38042,0.005644,0.005644,0.005644
24,5926.73,0.9113,0.66437,1.28568,0.88213,0.73595,0.81538,0.57136,1.00671,0.54893,1.37614,0.005446,0.005446,0.005446
25,6171.82,0.89426,0.64814,1.27131,0.86048,0.75172,0.83019,0.58608,0.99536,0.52926,1.35559,0.005248,0.005248,0.005248
26,6417.04,0.88889,0.64737,1.26606,0.88712,0.74631,0.83234,0.58668,0.99608,0.53075,1.3555,0.00505,0.00505,0.00505
27,6662.52,0.88327,0.63129,1.26349,0.90289,0.73871,0.83395,0.58926,0.9895,0.52143,1.34993,0.004852,0.004852,0.004852
28,6908.23,0.87494,0.62479,1.25981,0.87188,0.75276,0.82908,0.58845,0.98849,0.52273,1.35643,0.004654,0.004654,0.004654
29,7158.42,0.86517,0.61396,1.25178,0.87674,0.75842,0.83671,0.59595,0.9816,0.50974,1.34973,0.004456,0.004456,0.004456
30,7420.31,0.8628,0.60788,1.24988,0.87641,0.75506,0.83927,0.59708,0.97199,0.50643,1.33595,0.004258,0.004258,0.004258
31,7661.38,0.85048,0.59468,1.24134,0.8792,0.76026,0.84129,0.59696,0.96784,0.50323,1.34093,0.00406,0.00406,0.00406
32,7902.12,0.84903,0.59065,1.23709,0.8646,0.76891,0.84437,0.60021,0.96556,0.49307,1.33374,0.003862,0.003862,0.003862
33,8143.7,0.8419,0.58554,1.22958,0.85562,0.7726,0.84385,0.60093,0.95746,0.48856,1.32507,0.003664,0.003664,0.003664
34,8384.12,0.82346,0.57538,1.21716,0.90191,0.73661,0.83886,0.60114,0.95233,0.48768,1.31841,0.003466,0.003466,0.003466
35,8624.38,0.82096,0.57227,1.22093,0.87582,0.75586,0.84152,0.60289,0.9462,0.48317,1.31866,0.003268,0.003268,0.003268
36,8867.89,0.81339,0.56059,1.20872,0.84838,0.76661,0.83702,0.60231,0.9425,0.48435,1.31263,0.00307,0.00307,0.00307
37,9113.12,0.8053,0.55315,1.20671,0.85038,0.76445,0.83887,0.60268,0.9375,0.48247,1.30941,0.002872,0.002872,0.002872
38,9360.11,0.80246,0.54614,1.20105,0.87597,0.75095,0.83443,0.60071,0.93285,0.48111,1.30488,0.002674,0.002674,0.002674
39,9610.76,0.79111,0.53699,1.20073,0.89824,0.75062,0.83529,0.60271,0.93088,0.47919,1.30064,0.002476,0.002476,0.002476
40,9860.44,0.78362,0.52686,1.19187,0.89946,0.74765,0.8392,0.60309,0.92707,0.47786,1.29799,0.002278,0.002278,0.002278
41,10263.9,0.72939,0.40094,1.16311,0.91378,0.74524,0.84073,0.60545,0.92354,0.47465,1.29665,0.00208,0.00208,0.00208
42,10507.3,0.71291,0.38977,1.15621,0.88593,0.75289,0.84545,0.60782,0.91657,0.47223,1.29496,0.001882,0.001882,0.001882
43,10751,0.69621,0.37603,1.14226,0.88092,0.76146,0.84383,0.60967,0.91266,0.47265,1.29356,0.001684,0.001684,0.001684
