epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.877,1.30864,2.4054,1.56884,0.44667,0.32437,0.31244,0.17046,1.54012,2.25539,1.87944,0.00333049,0.00333049,0.00333049
2,544.992,1.2938,1.741,1.54022,0.55675,0.42731,0.43624,0.23783,1.5284,1.81148,1.85215,0.00653188,0.00653188,0.00653188
3,806.604,1.3449,1.59567,1.58399,0.41174,0.34967,0.31717,0.1536,1.77584,2.19513,2.08213,0.00960127,0.00960127,0.00960127
4,1062.74,nan,nan,nan,0.41174,0.34967,0.31717,0.1536,nan,nan,nan,0.009406,0.009406,0.009406
5,1319.23,nan,nan,nan,0.41174,0.34967,0.31717,0.1536,nan,nan,nan,0.009208,0.009208,0.009208
6,1574.99,1.23006,1.20862,1.50187,0.41174,0.34967,0.31717,0.1536,nan,nan,nan,0.00901,0.00901,0.00901
7,1830.84,1.18974,1.14325,1.46848,0.41174,0.34967,0.31717,0.1536,nan,nan,nan,0.008812,0.008812,0.008812
8,2086.55,nan,nan,nan,0.41174,0.34967,0.31717,0.1536,nan,nan,nan,0.008614,0.008614,0.008614
9,2341.72,1.15553,1.06524,1.4438,0.41174,0.34967,0.31717,0.1536,nan,nan,nan,0.008416,0.008416,0.008416
10,2597.06,1.11876,1.02488,1.41839,0.41174,0.34967,0.31717,0.1536,nan,nan,nan,0.008218,0.008218,0.008218
