epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,381.634,1.3086,2.40643,1.56795,0.4439,0.39961,0.38433,0.22114,1.45553,2.00866,1.80239,0.00333049,0.00333049,0.00333049
2,729.233,1.29317,1.73695,1.54087,0.46376,0.41735,0.39575,0.21457,1.51916,1.82422,1.80462,0.00653188,0.00653188,0.00653188
3,1066.61,1.35171,1.59525,1.58679,0.5271,0.41856,0.40489,0.21468,1.57544,1.88589,1.9266,0.00960127,0.00960127,0.00960127
4,1390.91,nan,nan,nan,0.5271,0.41856,0.40489,0.21468,nan,nan,nan,0.009406,0.009406,0.009406
5,1718.32,1.27132,1.29645,1.5309,0.5271,0.41856,0.40489,0.21468,nan,nan,nan,0.009208,0.009208,0.009208
6,2043.53,1.22612,1.19977,1.49932,0.5271,0.41856,0.40489,0.21468,nan,nan,nan,0.00901,0.00901,0.00901
7,2370.99,1.18764,1.14055,1.47128,0.5271,0.41856,0.40489,0.21468,nan,nan,nan,0.008812,0.008812,0.008812
8,2696.27,nan,nan,nan,0.5271,0.41856,0.40489,0.21468,nan,nan,nan,0.008614,0.008614,0.008614
9,3027.13,nan,nan,nan,0.5271,0.41856,0.40489,0.21468,nan,nan,nan,0.008416,0.008416,0.008416
