epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.327,1.10554,1.24173,1.4447,0.77674,0.63621,0.69929,0.42671,1.232,0.91883,1.62516,0.00333032,0.00333032,0.00333032
2,513.998,1.15491,1.0454,1.46567,0.66264,0.57919,0.61374,0.37495,1.32439,1.01444,1.66797,0.00653172,0.00653172,0.00653172
3,759.355,nan,nan,nan,0.66264,0.57919,0.61374,0.37495,nan,nan,nan,0.00960111,0.00960111,0.00960111
4,1003.15,nan,nan,nan,0.66264,0.57919,0.61374,0.37495,nan,nan,nan,0.009406,0.009406,0.009406
