epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.61,1.30843,2.40898,1.57019,0.3547,0.34526,0.26711,0.14602,1.57256,2.9549,1.91494,0.00333049,0.00333049,0.00333049
2,889.246,1.2912,1.73605,1.54286,0.5753,0.42454,0.44405,0.24673,1.49632,1.69194,1.7855,0.00653188,0.00653188,0.00653188
3,1316.89,1.34641,1.59931,1.58791,0.53781,0.43278,0.43609,0.23812,1.53238,1.73474,1.88655,0.00960127,0.00960127,0.00960127
4,1740.38,1.34348,1.46526,1.58991,0.65839,0.52726,0.56806,0.32674,1.45121,1.33358,1.79203,0.009406,0.009406,0.009406
5,2168.35,1.26919,1.30108,1.5313,0.64954,0.52242,0.5433,0.31279,1.46844,1.39819,1.82748,0.009208,0.009208,0.009208
6,2593.01,1.22512,1.20504,1.49885,0.71142,0.5637,0.60468,0.35526,1.37299,1.19045,1.69999,0.00901,0.00901,0.00901
7,3013.21,nan,nan,nan,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.008812,0.008812,0.008812
8,3431.49,1.16743,1.09771,1.45235,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.008614,0.008614,0.008614
9,3823.08,1.15183,1.06378,1.44132,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.008416,0.008416,0.008416
10,4209.41,1.12191,1.0215,1.41642,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.008218,0.008218,0.008218
11,4598.56,1.1069,0.98948,1.40226,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.00802,0.00802,0.00802
12,4988.06,1.09108,0.96398,1.39415,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.007822,0.007822,0.007822
13,5374.23,1.0794,0.94288,1.38812,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.007624,0.007624,0.007624
14,5765.3,1.06884,0.92574,1.37523,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.007426,0.007426,0.007426
15,6158.16,1.06026,0.91062,1.37024,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.007228,0.007228,0.007228
16,6550.31,1.04979,0.89359,1.35763,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.00703,0.00703,0.00703
17,6944.21,1.03697,0.87196,1.34807,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.006832,0.006832,0.006832
18,7336.81,1.03297,0.86157,1.3461,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.006634,0.006634,0.006634
19,7726.26,1.01847,0.8493,1.33602,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.006436,0.006436,0.006436
20,8112.85,1.01361,0.83814,1.33724,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.006238,0.006238,0.006238
21,8502.76,1.00529,0.82078,1.32795,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.00604,0.00604,0.00604
22,8889.48,0.99093,0.80991,1.32179,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.005842,0.005842,0.005842
23,9278.32,nan,nan,nan,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.005644,0.005644,0.005644
24,9677.91,nan,nan,nan,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.005446,0.005446,0.005446
25,10080.1,0.98365,0.78711,1.30928,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.005248,0.005248,0.005248
26,10481.1,0.97261,0.77031,1.29932,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.00505,0.00505,0.00505
27,10883.9,0.96137,0.75862,1.29393,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.004852,0.004852,0.004852
28,11281.8,0.95963,0.75793,1.29308,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.004654,0.004654,0.004654
29,11681.1,0.95207,0.74452,1.28886,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.004456,0.004456,0.004456
30,12083.4,0.94575,0.73773,1.2815,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.004258,0.004258,0.004258
31,12481.3,0.94081,0.72369,1.28031,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.00406,0.00406,0.00406
32,12880.9,0.92727,0.71895,1.27105,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.003862,0.003862,0.003862
33,13282.4,0.92266,0.70369,1.26887,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.003664,0.003664,0.003664
34,13682.2,0.91059,0.69731,1.25914,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.003466,0.003466,0.003466
35,14086.2,0.9061,0.69194,1.25383,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.003268,0.003268,0.003268
36,14491.6,nan,nan,nan,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.00307,0.00307,0.00307
37,14895.9,0.89965,0.68549,1.25206,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.002872,0.002872,0.002872
38,15298.5,0.89146,0.6743,1.2445,0.71142,0.5637,0.60468,0.35526,nan,nan,nan,0.002674,0.002674,0.002674
