epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.578,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00333049,0.00333049,0.00333049
2,552.436,1.29264,1.73672,1.53944,0,0,0,0,nan,nan,nan,0.00653188,0.00653188,0.00653188
3,818.142,1.34417,1.58709,1.58425,0,0,0,0,nan,nan,nan,0.00960127,0.00960127,0.00960127
4,1081.88,1.34736,1.47332,1.58989,0,0,0,0,nan,nan,nan,0.009406,0.009406,0.009406
5,1346.64,1.27024,1.29271,1.527,0,0,0,0,nan,nan,nan,0.009208,0.009208,0.009208
6,1610.63,1.22623,1.20507,1.5002,0,0,0,0,nan,nan,nan,0.00901,0.00901,0.00901
7,1875.47,1.18902,1.14569,1.47173,0,0,0,0,nan,nan,nan,0.008812,0.008812,0.008812
8,2214.23,1.1669,1.09709,1.45218,0,0,0,0,nan,nan,nan,0.008614,0.008614,0.008614
9,2478.19,1.15337,1.06216,1.44387,0,0,0,0,nan,nan,nan,0.008416,0.008416,0.008416
10,2742.15,1.12057,1.02521,1.41777,0,0,0,0,nan,nan,nan,0.008218,0.008218,0.008218
11,3006.84,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00802,0.00802,0.00802
12,3271.69,1.08912,0.97008,1.39079,0,0,0,0,nan,nan,nan,0.007822,0.007822,0.007822
