epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.165,1.30795,2.41114,1.56973,0.40374,0.35425,0.3233,0.17879,1.5465,2.25544,1.90382,0.00333049,0.00333049,0.00333049
2,567.95,1.29263,1.73895,1.54443,0.49317,0.46363,0.45942,0.24364,1.51453,1.65593,1.84066,0.00659786,0.00659786,0.00659786
3,822.617,1.35283,1.59486,1.59245,0.51888,0.42137,0.42734,0.234,1.55979,1.69902,1.88755,0.00979922,0.00979922,0.00979922
4,1075.4,1.35222,1.47417,1.59657,0.5924,0.49903,0.48548,0.27316,1.54822,1.66577,1.87901,0.009703,0.009703,0.009703
5,1325.66,nan,nan,nan,0.5924,0.49903,0.48548,0.27316,nan,nan,nan,0.009604,0.009604,0.009604
6,1575.35,nan,nan,nan,0.5924,0.49903,0.48548,0.27316,nan,nan,nan,0.009505,0.009505,0.009505
7,1823.25,1.19455,1.14928,1.47707,0.5924,0.49903,0.48548,0.27316,nan,nan,nan,0.009406,0.009406,0.009406
8,2068.45,1.17448,1.10065,1.45958,0.5924,0.49903,0.48548,0.27316,nan,nan,nan,0.009307,0.009307,0.009307
9,2313.5,1.15858,1.07362,1.45158,0.5924,0.49903,0.48548,0.27316,nan,nan,nan,0.009208,0.009208,0.009208
10,2558.41,nan,nan,nan,0.5924,0.49903,0.48548,0.27316,nan,nan,nan,0.009109,0.009109,0.009109
11,2804.52,1.11481,0.99827,1.40971,0.5924,0.49903,0.48548,0.27316,nan,nan,nan,0.00901,0.00901,0.00901
12,3049.73,1.10021,0.98169,1.40502,0.5924,0.49903,0.48548,0.27316,nan,nan,nan,0.008911,0.008911,0.008911
