epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.426,1.10338,1.24512,1.44278,0.77785,0.61395,0.68795,0.4286,1.27091,0.91976,1.6263,0.00333032,0.00333032,0.00333032
2,515.16,1.15474,1.04945,1.46691,0.64179,0.55463,0.58583,0.34459,1.35929,1.09891,1.70583,0.00653172,0.00653172,0.00653172
3,762.848,1.25957,1.23174,1.54976,0.5909,0.4928,0.52138,0.29931,1.40948,1.3953,1.7966,0.00960111,0.00960111,0.00960111
4,1006.14,nan,nan,nan,0.5909,0.4928,0.52138,0.29931,nan,nan,nan,0.009406,0.009406,0.009406
5,1249.61,1.21631,1.13667,1.51236,0.5909,0.4928,0.52138,0.29931,nan,nan,nan,0.009208,0.009208,0.009208
6,1492.36,1.15847,1.04095,1.47287,0.5909,0.4928,0.52138,0.29931,nan,nan,nan,0.00901,0.00901,0.00901
7,1735.46,1.12218,0.98407,1.4477,0.5909,0.4928,0.52138,0.29931,nan,nan,nan,0.008812,0.008812,0.008812
