epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.985,1.30698,2.41742,1.57464,0.39215,0.40816,0.38789,0.21945,1.46119,1.99499,1.78566,0.00333049,0.00333049,0.00333049
2,547.636,1.29223,1.73971,1.54358,0.52472,0.43862,0.44657,0.24695,1.51061,1.72636,1.85412,0.00653188,0.00653188,0.00653188
3,812.446,1.34859,1.58992,1.58801,0.51969,0.40732,0.41016,0.22178,1.54876,1.80658,1.8727,0.00960127,0.00960127,0.00960127
4,1074.36,1.34727,1.46457,1.58823,0.57665,0.49451,0.51539,0.28992,1.4918,1.5884,1.83635,0.009406,0.009406,0.009406
